variable,Estimate,Std. Error,t value,Pr(>|t|),r_squared,adj_r_squared
(Intercept),65.63294024655217,0.35836076047878396,183.1476754281938,3.1106015422483685e-269,0.8979960298048157,0.8943385169292912
working_age_prop,6.292515715903569,0.5321346287320767,11.825044596110938,6.111827404206812e-26,0.8979960298048157,0.8943385169292912
female_pop_prop,2.5448020686256063,0.40679795008438907,6.255690492273716,1.6954727034630598e-09,0.8979960298048157,0.8943385169292912
women_edu_secondary,3.999475182114652,1.3967197887995917,2.863477137063498,0.004544323747934724,0.8979960298048157,0.8943385169292912
women_literacy,6.059049287037871,1.0805032212304366,5.607617976494733,5.3996829355755875e-08,0.8979960298048157,0.8943385169292912
no_insurance_women,-9.591003092378704,0.4939792656793881,-19.415800942916956,6.741897499866957e-52,0.8979960298048157,0.8943385169292912
women_anemia,0.5884274921465078,0.6796402342165355,0.8657926098562422,0.38743069527552754,0.8979960298048157,0.8943385169292912
wife_beating_justified,0.8722781359085774,0.7944669860527861,1.0979413257198876,0.27328223223310627,0.8979960298048157,0.8943385169292912
decision_autonomy,-3.125845748001063,0.44959678082296833,-6.952553668806033,3.089201485147979e-11,0.8979960298048157,0.8943385169292912
ipv_12months,-2.3376978717727974,0.4772151114160503,-4.898624992890941,1.7311743636546319e-06,0.8979960298048157,0.8943385169292912
